,id_właściciela,Imię,Nazwisko,PESEL,Telefon,Email
0,0,Andrzej,Wróblewski,97052821778,962061404,andrzej.wróblewski695@onet.pl
1,1,Krystian,Cemka,66092318814,887846414,krystian.cemka280@wp.pl
2,2,Rafał,Grajewski,46051766739,227521863,rafał.grajewski194@wp.pl
3,3,Marian,Mścisz,49021418191,523734972,marian.mścisz863@yahoo.com
4,4,Jordan,Samofał,51051514954,515968276,jordan.samofał194@gmail.com
5,5,Ryszard,Wojtasiak,67031747539,770094950,ryszard.wojtasiak666@onet.pl
6,6,Józef,Zdziarski,58122481991,941095289,józef.zdziarski92@onet.pl
7,7,Andrzej,Michalak,96101652455,769991378,andrzej.michalak671@yahoo.com
8,8,Stanisław,Kotowski,40060138297,529389014,stanisław.kotowski945@interia.pl
9,9,Józef,Gołaś,64120481154,349467210,józef.gołaś60@interia.pl
10,10,Roman,Kolak,40121047214,998717130,roman.kolak633@gmail.com
11,11,Bogdan,Smyrnov,52122967697,598972759,bogdan.smyrnov50@gmail.com
12,12,Mariusz,Pawłowicz,35111239113,459525748,mariusz.pawłowicz402@o2.pl
13,13,Krzysztof,Sikora,93122465419,534285667,krzysztof.sikora788@yahoo.com
14,14,Marek,Kostecki,95042993216,713608295,marek.kostecki4@interia.pl
15,15,Bronisław,Taraszkowski,54070385819,993664919,bronisław.taraszkowski465@wp.pl
16,16,Marcin,Bagiński,75111373211,748061058,marcin.bagiński603@onet.pl
17,17,Robert,Mazurowski,57120624377,188409749,robert.mazurowski681@gmail.com
18,18,Romuald,Naciasta,59042276179,342285876,romuald.naciasta828@onet.pl
19,19,Piotr,Szymański,36110938911,454088427,piotr.szymański533@onet.pl
20,20,Artur,Tkach,92082055896,909827741,artur.tkach404@o2.pl
21,21,Artem,Goduń,34050859536,103344769,artem.goduń837@interia.pl
22,22,Jakub,Skrzypek,93031824932,880932287,jakub.skrzypek512@gmail.com
23,23,Kacper,Zmuda,38032011497,887716372,kacper.zmuda644@onet.pl
24,24,Emil,Olsson,92042285895,604579232,emil.olsson232@gmail.com
25,25,Paweł,Tomczak,68022417817,332968651,paweł.tomczak523@wp.pl
26,26,Szymon,Kolbusz,68040984951,579546681,szymon.kolbusz345@o2.pl
27,27,Franciszek,Sztandarski,89022697117,206328085,franciszek.sztandarski45@wp.pl
28,28,Karol,Traczyński,36092164999,130349564,karol.traczyński545@gmail.com
29,29,Kamil,Goc,64100145917,881447915,kamil.goc944@gmail.com
30,30,Marcin,Strzelecki,93101945875,199052376,marcin.strzelecki77@interia.pl
31,31,Józef,Latocha,46022365354,277077808,józef.latocha729@onet.pl
